ID,Title,Date,Post Type,Permalink,WPML Translation ID,WPML Language Code,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Attachment URL,Resource Types,Status,Author ID,Author Username,Author Email,Author First Name,Author Last Name,Slug,Format,Template,Parent,Parent Slug,Order,Comment Status,Ping Status,Post Modified Date,Resource Type,Sort Order,Show Order Button,Show Download Button,Download File
,Soins de l’eczéma simplifiés,2019-08-02,hcp-resource,,264,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/fr-eczema-skin-care-made-simple.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/fr-eczema-skin-care-made-simple.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Soin-de-lecz%C3%A9ma-simplifi%C3%A9s_May-2018.pdf
,Ask the Doctor About... Phototherapy,2020-12-21,hcp-resource,,,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-Phototherapy-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-Phototherapy-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Ask-the-Doctor_Phototherapy_2020.pdf
,Ask the Doctor About... Topical Calcineurin Inhibitors,2020-12-21,hcp-resource,,,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-TCI-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-TCI-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Ask-the-Doctor_Topical-Calcineurin-Inhibitor_2020.pdf
,Ask the Doctor About... Topical Corticosteroids,2020-12-21,hcp-resource,,,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-TCS-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-TCS-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Ask-the-Doctor_Topical-Corticosteroids_2020.pdf
,Ask the Doctor About... Topical PDE4 Inhibitors,2020-12-21,hcp-resource,,,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-PDE4-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-PDE4-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Ask-the-Doctor_Topical-PDE4-Inhibitors_2018.pdf
,Caring for the Eczema Caregiver,2020-12-21,hcp-resource,,,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Caring-for-Eczema-Caregiver-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Caring-for-Eczema-Caregiver-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Caring-for-the-Eczema-Caregiver_2020.pdf
,When the Road Gets Bumpy,2020-12-21,hcp-resource,,,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/When-the-Road-Gets-Bumpy-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/When-the-Road-Gets-Bumpy-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_When-the-Roads-Gets-Bumpy_2020.pdf
,Quality of Life Report - Moderate to Severe Atopic Dermatitis,2020-12-21,hcp-resource,,,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/quality-of-life-report@2x.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/quality-of-life-report@2x.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Quality-of-Life-Report_Nov-2017-1.pdf
,Patient Insights Report - Mild to Moderate Atopic Dermatitis,2020-12-21,hcp-resource,,,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/patient-insights-report@2x.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/patient-insights-report@2x.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Insights-Report_Nov-2017-1.pdf
,Un médecin vous parle… des corticostéroides topiques,2020-12-21,hcp-resource,,,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-TCS-FR-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-TCS-FR-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Un-medecin-vous-parle-des-corticosteroides-topiques-_2020.pdf
,Un médecin vous parle… des inhibiteurs topiques de la calcineurine,2020-12-21,hcp-resource,,,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-TCI-FR-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-TCI-FR-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Un-medecin-vous-parle-des-inhibiteurs-topiques-de-la-calcineurine_2020.pdf
,Un médecin vous parle… des inhibiteurs topiques de la PDE4,2020-12-21,hcp-resource,,,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-PDE4-FR-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-PDE4-FR-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Un-medecin-vous-parle-inhibiteurs-topiques-de-la-PDE4_2018.pdf
,Un médecin vous parle… de photothérapies,2020-12-21,hcp-resource,,,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-Phototherapy-FR-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-Phototherapy-FR-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Un-medecin-vous-de-phototherapies_2020.pdf
,Se soucier des aidants de personnes atteintes d'eczéma,2020-12-21,hcp-resource,,,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Caring-for-Eczema-Caregiver-FR-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Caring-for-Eczema-Caregiver-FR-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_se-soucier-des-aidants-de-personnes-atteintes-d-eczema_2020.pdf
,Quand le Chemin est Rocailleux,2020-12-21,hcp-resource,,,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/When-the-Road-Gets-Bumpy-FR-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/When-the-Road-Gets-Bumpy-FR-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Quand-le-chemin-est-rocailleux_2020.pdf
,Rapport sur la Qualité de vie - Dermatite Atopique Modérée ou Grave,2020-12-21,hcp-resource,,,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Qol-Survey-Report-2016-2017-French-Cover-scaled.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Qol-Survey-Report-2016-2017-French-Cover-scaled.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Rapport-sur-la-Qualite-de-vie-Associee-a-la-Dermitite-Atopique_2017.pdf
,Rapport sur le vécu des patients - dermatite atopique légère ou modérée,2020-12-21,hcp-resource,,,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Insight-FR.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Insight-FR.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Dermatite-atopique_-rapport-sur-le-vecu-des-patients_2017.pdf
,I Have Eczema Card,2019-07-31,hcp-resource,,250,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/i-have-eczema-card@2x.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/i-have-eczema-card@2x.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Kids Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_I-Have-Eczema-Card_Nov-2016.pdf
,Cartes « J’ai de l’eczéma »,2019-07-31,hcp-resource,,250,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/fr-i-have-eczema-card.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/fr-i-have-eczema-card.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Kids Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Cartes-Jai-de-lecze%CC%81ma_Nov-2016.pdf
,Rub It In! Skin Care Chart,2019-08-01,hcp-resource,,268,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/rub-it-in-eng-scaled.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/rub-it-in-eng-scaled.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Kids Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/rub-it-in-eng.pdf
,Sometimes I Am Itchy - Children's Book,2019-08-01,hcp-resource,,269,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/sometimes-iam-itchy@2x.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/sometimes-iam-itchy@2x.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Kids Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Sometimes_I_am_Itchy_Chidlrens_Book_Nov_2016.pdf
,Eczema School and Daycare Guide,2019-08-01,hcp-resource,,270,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/eczema-school-and-daycare-guide@2x.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/eczema-school-and-daycare-guide@2x.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Kids Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Eczema_School_and_Daycare_Guide_Nov_2016.pdf
,Guide sur l’eczéma à l’intention des écoles et des garderies,2019-08-02,hcp-resource,,270,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/fr-eczema-school-and-daycare-guide.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/fr-eczema-school-and-daycare-guide.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Kids Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Guide-sur-lecze%CC%81ma-a%CC%80-lintention-des-e%CC%81coles-et-des-garderies_Nov-2016.pdf
,Tableau sur le soin de la peau « Aux petits soins! »,2019-08-02,hcp-resource,,268,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/rub-it-in-fr.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/rub-it-in-fr.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Kids Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/rub-it-in-fr.pdf
,"« Des fois, ça me démange » (Livre pour enfants)",2019-08-02,hcp-resource,,269,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/fr-sometimes-i-am-itchy.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/fr-sometimes-i-am-itchy.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Kids Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Livre-Des-fois-c%CC%A7a-me-de%CC%81mange_Nov-2016.pdf
,I Have Eczema Coloring Book,2020-12-21,hcp-resource,,,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Colouring-Book-and-Skin-Care-Guide-2016-Cover-scaled.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Colouring-Book-and-Skin-Care-Guide-2016-Cover-scaled.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Kids Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_I-have-Eczema-Colouring-Book_2016.pdf
,Eczema Word Search,2020-12-21,hcp-resource,,,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Word-Search-Cover.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Word-Search-Cover.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Kids Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Word-Search_2016.pdf
,Livre à colorier « J’ai de l’eczéma »,2020-12-21,hcp-resource,,,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Guide-de-soins-de-la-peau-a-colorier-2016-Cover-1-scaled.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Guide-de-soins-de-la-peau-a-colorier-2016-Cover-1-scaled.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Kids Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Livre-de-Coloriage_2016.pdf
,Mots cachés sur l’eczéma,2020-12-21,hcp-resource,,,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE-Word-Search-FR-Cover.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE-Word-Search-FR-Cover.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Kids Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Mots-Caches_2016.pdf
